ACCESSION_NUMBER	SECURITY_ID	SECURITIESISSUERNAME	SECURITIESISSUERTITLE	SECURITIESISSUEDTOTALAMOUNT	SECURITIESPRINCIPALHOLDERAMT	SECURITIESISSUEDAGGREGATEAMT	AGGREGATECONSIDERATIONBASIS
0001213900-19-005271	1	Emerald Health Pharmaceuticals Inc.	Common Stock	12279880	0	1,754400	
0001213900-19-005271	2	Emerald Health Pharmaceuticals Inc.	Common Stock	12279880	0	1,754400	
0001144204-19-016870	2	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-016870	4	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-016870	3	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-016870	1	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-016865	2	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-016865	1	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-016865	3	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001445866-19-000310	1	Co-optrade	Common Stock	8100000	0	Payment of Shares for Service Rendered	
0001104659-19-018303	1	MogulREIT I, LLC	Common shares	1682994	0	$16,829,946 (1,682,994 shares at $10.00 per common share)	
0001437749-19-005903	1	St. Renatus, LLC	Convertible Promissory Notes	8565222	8565222	$8,565,222 cash	$8,565,222 cash
0001019056-19-000222	1	Prometheum, Inc.	Common Stock and Ember Warrants	79025000	0	$3 million cash plus technology and services valued at $9 million.	
0000715812-19-000009	1	Iroquois Valley Farmland REIT, PBC	Common	20032000	0	"$596 per share of common stock.  The basis for computing the price per share is reflected in ""Determination of the Offering Price"" in the Offering Circular."	
0001078782-19-000252	1	iQSTEL Inc	Common Stock	14196926	0	0	
0001731122-19-000142	1	CF FUND II, LLC	Promissory Notes	3076306	0	$3,076,306 were issued and sold pursuant to Offering Circular File No. 024-10732 (as may be amended and supplemented from time to time)	
0001078782-19-000249	1	iQSTEL Inc	Common Stock	14196926	0	0	
0001760319-19-000006	1	CANNABINOID BIOSCIENCES, INC	COMMON STOCK	7700000	0	56100	
0001144204-19-016178	1	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-016178	2	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-016178	3	Groundfloor Finance Inc.	LROs	41533630	0	$37,498,630 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001437749-19-005758	1	St. Renatus, LLC	Convertible Promissory Notes	8565222	8565222	$8,565,222 cash	$8,565,222 cash
0001477932-19-001196	2	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001477932-19-001196	1	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001477932-19-001196	3	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001144204-19-016032	1	GolfSuites 1, Inc.	Class B Common Shares	18000000	0	$180 (determined at $0.00001 per share)	
0001104659-19-017475	1	MogulREIT I, LLC	Common shares	1682994	0	$16,829,946 (1,682,994 shares at $10.00 per common share)	
0001477932-19-001151	1	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001477932-19-001151	3	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001477932-19-001151	2	InSitu Biologics, Inc.	Class A Common Shares	25000000	0	0	
0001213900-19-004701	1	Greenmo Inc.	Common Stock	200000000	0	193,860,000 shares issued for $19,386 ($0.001 per share) and 6,140,000 shares issued for services	
0001393905-19-000084	4	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000084	5	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000084	3	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000084	2	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000084	1	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001765320-19-000002	1	BLACK BIRD POTENTIALS INC	COMMON STOCK	45000000	45000000	$400 BASED ON DETERMINATION OF BOARD OF DIRECTORS	$400 BASED ON DETERMINATION OF BOARD OF DIRECTORS
0001765320-19-000002	2	BLACK BIRD POTENTIALS INC	COMMON STOCK	45000000	45000000	$400 BASED ON DETERMINATION OF BOARD OF DIRECTORS	$400 BASED ON DETERMINATION OF BOARD OF DIRECTORS
0001765320-19-000002	3	BLACK BIRD POTENTIALS INC	COMMON STOCK	45000000	45000000	$400 BASED ON DETERMINATION OF BOARD OF DIRECTORS	$400 BASED ON DETERMINATION OF BOARD OF DIRECTORS
0001683168-19-000742	1	Advance Green Energy, Inc.	Class A Common Stock, $0.0001 par value	66314100	0	663141	
0001144204-19-015156	1	Legion M Entertainment, Inc.	Class A Common Stock	108400	0	$901,888 at $8.32 per share	
0001615774-19-004280	1	Denver Moguls, Inc.	Common Stock	1	0	1.00	
0001615774-19-004278	1	Atlanta Hot Wings, Inc.	Common Stock	1	0	1.00	
0001615774-19-004276	1	Philadelphia Powderkegs, Inc.	Common Stock	1	0	1.00	
0001615774-19-004275	1	New England Cape Gods, Inc.	Common Stock	1	0	1.00	
0001615774-19-004272	1	Florida Mangos Wild, Inc.	Common Stock	1	0	1.00	
0001615774-19-004270	1	Los Angeles Drive, Inc.	Common Stock	1	0	1.00	
0001615774-19-004269	1	Chicago Hogmollies, Inc.	Common Stock	1	0	1.00	
0001615774-19-004267	1	Texas Holy Smokers, Inc.	Common Stock	1	0	1.00	
0001615774-19-004266	1	CRL Team 12, Inc.	Common Stock	1	0	1.00	
0001615774-19-004263	1	Sin City Bad Babies, Inc.	Common Stock	1	0	1.00	
0001615774-19-004261	1	Seattle Emerald Haze, Inc.	Common Stock	1	0	1.00	
0001615774-19-004260	1	New York Bodega Cats, Inc.	Common Stock	1	0	1.00	
0001213900-19-004466	1	Delhi Bank Corp.	Common Stock	21619	0	$653,417. Based on market price preceding the investment date.	
0001493152-19-003562	1	Masterworks 001, LLC	Membership Interests	16015	0	16,015 membership interests were issued to Masterworks Gallery, LLC, a Delaware limited liability company which was issued for $100.	
0001144204-19-014672	1	Groundfloor Finance Inc.	LROs	41933960	0	$37,878,960 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-014672	2	Groundfloor Finance Inc.	LROs	41933960	0	$37,878,960 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-014672	3	Groundfloor Finance Inc.	LROs	41933960	0	$37,878,960 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001213900-19-004381	1	StreamNet, Inc	Common Stock	23668900	0	23,300	
0001615774-19-004155	1	Gulf Chronic Care Inc.	common stock	11450000	0	$145000	
0001144204-19-013755	1	Monogram Orthopaedics, Inc.	Convertible Promissory Notes	1168000	0	$1,168,000	
0001683168-19-000639	1	Advance Green Energy, Inc.	Class A Common Stock, $0.0001 par value	66314100	0	663141	
0001615774-19-004000	1	CRL Team 12, Inc.	Common Stock	1	0	1.00	
0001615774-19-003979	1	Seattle Emerald Haze, Inc.	Common Stock	1	0	1.00	
0001437749-19-004703	1	St. Renatus, LLC	Convertible Promissory Notes	8565222	8565222	$8,565,222 cash	$8,565,222 cash
0001144204-19-013333	1	Fundrise Growth eREIT 2019, LLC	Common Shares	500	500	$5,000 ($10.00 per common share)	Same as above
0001144204-19-013332	1	Fundrise Income eREIT 2019, LLC	Common Shares	500	500	$5,000 ($10.00 per common share)	Same as above
0001393905-19-000072	4	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000072	3	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000072	2	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000072	1	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001393905-19-000072	5	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
0001615774-19-003876	1	Sin City Bad Babies, Inc.	Common Stock	1	0	1.00	
0001615774-19-003872	1	Texas Holy Smokers, Inc.	Common Stock	1	0	1.00	
0001615774-19-003869	1	Los Angeles Drive, Inc.	Common Stock	1	0	1.00	
0001615774-19-003791	1	CRL Team 12, Inc.	Common Stock	1	0	1.00	
0001615774-19-003754	1	New England Cape Gods, Inc.	Common Stock	1	0	1.00	
0001144204-19-012709	1	StartEngine Crowdfunding, Inc.	Series T Preferred Stock	119048	0	$642,852 at prices ranging from $5.00 to $7.50 per share.	
0001615774-19-003726	1	Philadelphia Powderkegs, Inc.	Common Stock	1	0	1.00	
0001615774-19-003723	1	Denver Moguls, Inc.	Common Stock	1	0	1.00	
0001615774-19-003721	1	Florida Mangos Wild, Inc.	Common Stock	1	0	1.00	
0001445866-19-000214	1	Secured Real Estate Income Fund I, LLC	limited liability company interests	2183425	0	2183425	
0001445866-19-000214	2	Secured Real Estate Income Fund I, LLC	limited liability company interests	2183425	0	2183425	
0001144204-19-012639	2	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-012639	1	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-012639	3	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-012509	1	GolfSuites 1, Inc.	Class B Common Shares	18000000	0	$180 (determined at $0.00001 per share)	
0001761911-19-000001	2	Nowigence Inc	Class B Common	37827270	0	The Founders' Class B stock was issued for an aggregate amount of $102,000 which represents $0.002 per share.	
0001761911-19-000001	1	Nowigence Inc	Class B Common	37827270	0	The Founders' Class B stock was issued for an aggregate amount of $102,000 which represents $0.002 per share.	
0001615774-19-003669	1	Chicago Hogmollies, Inc.	Common Stock	1	0	1.00	
0001615774-19-003654	1	Atlanta Hot Wings, Inc.	Common Stock	1	0	1.00	
0001760319-19-000001	1	CANNABINOID BIOSCIENCES, INC	COMMON STOCK	7700000	0	56100	
0001683168-19-000545	1	Crednology Holding Corp.	Common Stock, $0.001 par value	538008777	0	na	
0001144204-19-012031	1	StartEngine Crowdfunding, Inc.	Series T Preferred Stock	116567	0	$614,330 at prices ranging from $5.00 to $7.50 per share.	
0001615774-19-003467	1	New York Bodega Cats, Inc.	Common Stock	1	0	1.00	
0001437749-19-003774	1	St. Renatus, LLC	Convertible Promissory Notes	8565222	8565222	$8,565,222 cash	$8,565,222 cash
0000715812-19-000002	1	Iroquois Valley Farmland REIT, PBC	Common	20032000	0	"$626 per share of common stock.  The basis for computing the price per share is reflected in ""Determination of the Offering Price"" in the Offering Circular."	
0001683168-19-000514	1	Advance Green Energy, Inc.	Class A Common Stock, $0.0001 par value	66314100	0	663141	
0001144204-19-010228	2	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-010228	1	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-010228	3	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-010145	2	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-010145	1	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001144204-19-010145	3	Groundfloor Finance Inc.	LROs	44635750	0	$40,580,750 were issued and sold pursuant to Offering Circular File No. 024-10753. $4,055,000 were issued and sold pursuant to Offering Circular File No. 024-10758 (as may be amended and supplemented from time to time).	
0001688804-19-000002	1	RSE Collection, LLC	Series #77LE1, a series of RSE Collection, LLC	2000	0	Aggregate amount: $77,700 Basis of Computing: 2000 LLC Interests at $38.85 per Interest	
0001078782-19-000165	1	DECISION DIAGNOSTICS CORP	Common Shares	18177530	0	$0.076 per share in conversion of principal and interest owed pursuant to convertible promissory notes or conversion of preferred stock.	
0001078782-19-000165	2	DECISION DIAGNOSTICS CORP	Common Shares	18177530	0	$0.076 per share in conversion of principal and interest owed pursuant to convertible promissory notes or conversion of preferred stock.	
0001078782-19-000165	3	DECISION DIAGNOSTICS CORP	Common Shares	18177530	0	$0.076 per share in conversion of principal and interest owed pursuant to convertible promissory notes or conversion of preferred stock.	
0001078782-19-000165	4	DECISION DIAGNOSTICS CORP	Common Shares	18177530	0	$0.076 per share in conversion of principal and interest owed pursuant to convertible promissory notes or conversion of preferred stock.	
0001144204-19-009699	4	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-009699	1	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-009699	3	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001144204-19-009699	2	Groundfloor Finance Inc.	Limited Recourse Obligations	1092030	0	Limited Recourse Obligations in the amount of $1,092,030 were issued and sold pursuant to Offering Circular File No. 024-10753 (as may be amended and supplemented from time to time).	
0001393905-19-000061	1	NeoVolta, Inc.	Common	100000	100000	NeoVolta, Inc., issued 100,000 shares of its common stock to its chief executive officer in exchange for his founding capital contribution in the amount of $500, which equates to a price of $0.005 per share.	See (c)(1)
